0 0.731223 0.550213 0.030995 0.666717 0.632465 
1 0.722628 0.546118 0.030264 0.672510 0.636703 
2 0.705591 0.532292 0.027515 0.695630 0.645621 
3 0.683556 0.511107 0.024840 0.724914 0.656393 
4 0.658855 0.486162 0.022257 0.753574 0.668356 
5 0.629606 0.460321 0.018994 0.802304 0.683140 
6 0.605954 0.437250 0.016398 0.839788 0.694675 
7 0.585675 0.422149 0.014484 0.875130 0.705158 
8 0.571386 0.410780 0.012697 0.902282 0.712198 
9 0.563383 0.403742 0.013018 0.915864 0.715755 
10 0.551752 0.394620 0.011546 0.938483 0.721656 
11 0.546704 0.391180 0.011768 0.948283 0.724385 
12 0.540501 0.388865 0.012119 0.956364 0.727139 
13 0.529644 0.385129 0.011860 0.961281 0.732458 
14 0.521796 0.384949 0.012410 0.958081 0.736372 
15 0.514225 0.378537 0.012070 0.979827 0.740588 
16 0.514001 0.379801 0.010386 0.979556 0.740232 
17 0.505172 0.376892 0.011792 0.987244 0.745051 
18 0.499579 0.378412 0.009760 0.983086 0.747541 
19 0.494126 0.375561 0.008549 0.974186 0.749952 
20 0.491967 0.376316 0.008925 0.976233 0.751439 
21 0.480918 0.373067 0.008196 0.990762 0.756509 
22 0.479075 0.370776 0.008373 1.002104 0.757712 
23 0.478587 0.371024 0.008209 1.016546 0.758269 
24 0.474088 0.369789 0.009555 1.014748 0.760166 
25 0.470125 0.367530 0.008251 1.011710 0.761657 
26 0.468915 0.367229 0.008041 1.012374 0.762800 
27 0.469230 0.367133 0.008671 1.034173 0.762721 
28 0.473328 0.370987 0.008234 1.003796 0.760041 
29 0.468359 0.366872 0.009487 1.028924 0.762959 
30 0.464700 0.368356 0.008770 1.036382 0.765136 
31 0.462722 0.364114 0.009493 1.036935 0.766068 
32 0.461498 0.365601 0.007945 1.013926 0.766452 
33 0.460517 0.367431 0.008025 1.018396 0.767227 
34 0.457066 0.368920 0.007985 1.008857 0.768670 
35 0.451659 0.370026 0.008094 1.009771 0.770834 
36 0.453126 0.372327 0.007272 1.009521 0.770244 
37 0.448669 0.371016 0.007614 1.006612 0.772624 
38 0.444452 0.367108 0.007444 1.030027 0.775104 
39 0.441715 0.365940 0.007716 1.042458 0.776477 
40 0.441532 0.369405 0.008352 1.027889 0.776206 
41 0.438374 0.368366 0.008420 1.049927 0.778201 
42 0.436658 0.371414 0.007490 1.017541 0.778556 
43 0.433431 0.373091 0.007220 1.020696 0.780564 
44 0.432568 0.371922 0.007136 1.021311 0.780703 
45 0.433087 0.369171 0.007744 1.036434 0.780894 
46 0.429666 0.368543 0.007379 1.034931 0.782061 
47 0.427555 0.365654 0.006987 1.014134 0.782450 
48 0.423475 0.364621 0.007670 1.030166 0.784922 
49 0.419714 0.365424 0.006869 1.025157 0.786904 
50 0.417769 0.366426 0.006523 1.016554 0.787984 
